分类,公司,上班时间(原文),公司_规范,下班时间(原文),公司_集团,公司评分,评分等级,部门,部门_规范,岗位,岗位_规范,base地,城市,上班时间(标准),下班时间(标准),工作时长_小时,一周工作天数,工作天数(数字),午饭时间,晚饭时间,周三是否特殊,周五是否特殊,新人是否日报/周报,行业,行业细分,补齐标记,备注,35岁比例,福利,外资,来源
互联网,腾讯,10:00:00,腾讯,22:00开始有人走,腾讯,79.1,良好,WXG 技术架构,技术/研发,数分,数据分析,深圳,深圳,10:00,22:00,12,5,5,不固定,不固定,否,可以早走，说一声,周报,,未填写,,卷，氛围很好,,,否,总表
互联网,腾讯,10:00:00,腾讯,24:00+,腾讯,79.1,良好,WXG 企业微信,WXG 企业微信,产品,产品经理,广州,广州,10:00,12:00,2,,5,未填写,未填写,未填写,未填写,未填写,,未填写,工作天数,??乱写的吗,,,否,总表
互联网,腾讯,10点-11点,腾讯,9点-10点左右,腾讯,79.1,良好,WXG基础产品部,产品,客户端开发,客户端开发,广州,广州,10:00,21:00,11,5,5,12:00,18:00,否,否,组内轮流写周报,,未填写,,上班时间相对自由，可以下午才来晚上晚点走，也可以十点就来晚上九点走,,,否,总表
互联网,腾讯,随意，没有固定时间,腾讯,看早上来的时间以及业务情况而定,腾讯,79.1,良好,WXG基础产品部,产品,前端,前端开发,广州,广州,10:00,,,5,5,12:00,18:00,晚上社团活动,18:00之后基本可以撤了,否,,未填写,上班时间,视频号方向，新老员工比例均衡，新员工也能拿五星，作息幸福感可以参考前面所写。,,,否,总表
互联网,腾讯,10点,腾讯,10点,腾讯,79.1,良好,wxg开放平台基础部,平台/中台,后台开发,后端开发,广州,广州,10:00,10:00,,,5,14:00,未填写,未填写,8点可走,未填写,,未填写,工作天数,包3餐，晚上9点半打车报销，活很多，部门氛围可以，leader和mentor都很不错,,,否,总表
互联网,腾讯,11,腾讯,10--11,腾讯,79.1,良好,wxg开平,wxg开平,前端,前端开发,广州,广州,11:00,22:00,11,5,5,未填写,18:00,否,否,周会+月报,,未填写,,氛围好，年纪分布均匀，技术不错，leader人很nice。除了下班晚其他都是优点。。,,,否,总表
互联网,腾讯,10:30:00,腾讯,22:00开始有人走,腾讯,79.1,良好,WXG-企业微信,WXG-企业微信,后端,后端开发,成都/广州,成都,10:30,22:00,11.5,5,5,14:00,13:00,否,可以早走,周报,,未填写,,技术一般， 同事都比较年轻,,,否,总表
互联网,腾讯,10点到11点,腾讯,23以后,腾讯,79.1,良好,wxg视频号中心,wxg视频号中心,研发,研发,广州,广州,10:00,23:00,13,5到7,5,12:00,不一定，有时候忙不能吃饭,否,否,是,,未填写,,想早点入土就赶紧来,,,否,总表
互联网,腾讯,10,腾讯,22:00-2:00,腾讯,79.1,良好,WXG微信事业群,WXG微信事业群,客户端开发,客户端开发,广州,广州,10:00,22:00,12,5，周末轮流值班,5,12:00,18:00,否,否,周报,,未填写,,卷的离谱，无文档无注释，老员工比例大，新人压力大，背星风险大,,,否,总表
互联网,腾讯,09:00:00,腾讯,20:00:00,腾讯,79.1,良好,WXG微信支付,WXG微信支付,后端,后端开发,深圳,深圳,09:00,20:00,11,5,5,未填写,18:00,否,没事可以早走,周报,,未填写,,卷  技术还不错,,,否,总表
互联网,腾讯,10,腾讯,21,腾讯,79.1,良好,WXG微信支付,WXG微信支付,算法,算法,深圳,深圳,10:00,21:00,11,5+,5,未填写,18:00,否,可以早走,新人日报/全员周报,,未填写,,pua，ppt文化严重，中层又菜又自信，技术十分落后,,,否,总表
互联网,腾讯,10,腾讯,9点开始走人,腾讯,79.1,良好,医疗资讯,医疗资讯,后台,后端开发,深圳,深圳,10:00,21:00,11,5,5,12:00,06:30,未填写,未填写,否,,未填写,,部门还行，比较边缘，同事人都挺好,,,否,总表
互联网,腾讯,10,腾讯,44386,腾讯,79.1,良好,优图实验室,优图实验室,后端,后端开发,上海,上海,10:00,,,5,5,未填写,17:45,否,18:00:00,未填写,,未填写,,佛就可以,,,否,总表
