城市,记录数,公司数,平均上班,平均下班,平均工时,平均评分
漯河,1,1,08:00,18:30,10.5,62.0
湘潭,1,1,09:00,17:30,8.5,94.0
湖州,1,1,08:00,17:00,9.0,89.7
湖南湘潭,1,1,07:10,19:10,12.0,49.6
湖北黄石,1,1,09:00,17:00,8.0,92.7
浙江湖州德清,1,1,08:30,21:00,12.5,39.5
浙江桐乡,1,1,08:30,17:00,8.5,94.2
淮安,1,1,08:30,17:30,9.0,85.0
河池,1,1,08:30,17:30,9.0,62.3
河北雄安,1,1,08:00,23:00,15.0,48.9
河北省,1,1,08:00,17:30,9.5,86.6
波士顿,1,1,06:00,22:00,16.0,23.0
泰州,1,1,08:30,18:00,9.5,84.9
济宁,1,1,08:00,21:30,13.5,39.9
浙江丽水青田,1,1,08:00,17:00,9.0,83.7
浙江某城,1,1,08:30,21:00,12.5,39.5
没懂,1,1,09:18,18:00,8.7,95.1
沙特阿拉伯,1,1,06:30,18:00,11.5,58.0
沭阳,1,1,08:30,18:00,9.5,81.9
朝来科技元园,1,1,10:00,21:00,11.0,69.4
桂林,1,1,08:30,18:00,9.5,87.9
桐庐,1,1,08:30,20:30,12.0,87.5
梅州,1,1,08:30,18:00,9.5,79.6
某直辖,1,1,09:00,21:00,12.0,50.0
比较,1,1,10:00,20:00,10.0,67.5
永丰,1,1,08:00,17:00,9.0,85.2
江浙沪一代,1,1,05:00,14:00,9.0,83.7
省会,1,1,08:00,17:30,9.5,75.5
矿井下作业,1,1,06:00,16:30,10.5,58.2
珠三角,1,1,09:00,18:00,9.0,92.4
盐城,1,1,07:00,17:00,10.0,80.4
炼油三部,1,1,08:00,16:00,8.0,80.5
财务,1,1,08:18,17:18,9.0,93.2
许昌,1,1,08:18,17:18,9.0,90.5
西部,1,1,,08:00,,
衡水,1,1,05:25,10:15,4.8,100.0
荒郊野岭,1,1,07:30,,,
蚌埠,1,1,08:30,17:30,9.0,91.0
色图,1,1,07:00,23:00,16.0,6.5
苏北,1,1,08:30,17:30,9.0,91.0
福鼎,1,1,08:00,18:00,10.0,77.4
绥化,1,1,08:30,17:00,8.5,88.2
玉林,1,1,08:00,17:30,9.5,86.6
潮州,1,1,08:30,17:30,9.0,83.0
眉山,1,1,08:30,17:30,9.0,85.0
省站,1,1,07:30,22:00,14.5,48.9
贵阳,1,1,09:00,18:00,9.0,92.4
赏花,1,1,09:00,18:00,9.0,92.4
铜仁,1,1,08:30,18:30,10.0,78.0
金华信息产业园,1,1,09:00,21:00,12.0,44.0
郊外,1,1,08:00,23:00,15.0,10.4
郑州新密,1,1,08:00,18:30,10.5,62.3
跟项目,1,1,08:00,22:00,14.0,24.2
赤峰,1,1,08:30,14:00,5.5,100.0
远程,1,1,09:15,18:30,9.2,89.5
邵阳,1,1,08:00,22:30,14.5,96.8
雄安,1,1,08:30,17:30,9.0,76.0
随项目变动,1,1,08:00,18:00,10.0,77.4
铜陵,1,1,09:00,18:00,9.0,86.4
长乐,1,1,09:00,17:30,8.5,90.4
非洲,1,1,08:30,18:00,9.5,75.9
马鞍山,1,1,09:00,21:00,12.0,44.0
马驹桥联东u谷,1,1,08:00,17:00,9.0,89.7
黑龙江 哈尔滨,1,1,08:30,17:00,8.5,97.2
