公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
中铁武汉电气化局,中铁武汉电气化局,其他,1,1,1,武汉,07:30,09:30,2.0,100.0,舒适,0
广州致盛信息科技有限公司-广州领宏科技,广州致盛信息科技有限公司-广州领宏科技,互联网,1,1,1,广州,09:00,18:30,9.5,87.0,舒适,0
广州荔枝网络,广州荔枝网络,互联网,1,1,1,广州,10:00,20:00,10.0,78.4,良好,0
广州实地,广州实地,其他,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,1
"广州将至网络科技有限公司(下同)
优速科技(广州)","广州将至网络科技有限公司(下同)
优速科技(广州)",互联网,1,1,1,广州,09:30,21:00,11.5,48.4,偏卷,1
广州小迈,广州小迈,互联网,1,1,1,广州,09:30,19:00,9.5,86.1,舒适,0
广州峰和信息,广州峰和信息,互联网,1,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
广州思林杰科技,广州思林杰科技,其他,1,1,1,广州,08:30,18:00,9.5,87.9,舒适,1
广州恒坤信息科技,广州恒坤信息科技,互联网,1,1,1,广州,09:30,18:30,9.0,91.4,舒适,0
广州数鼎,广州数鼎,互联网,1,1,1,广州,09:00,18:00,9.0,92.4,舒适,1
广州新东方,广州新东方,其他,1,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
广州明动软件,广州明动软件,互联网,1,1,1,广州,08:45,18:15,9.5,87.4,舒适,1
广州朗昇网络科技,广州朗昇网络科技,互联网,1,1,1,广州,08:00,17:00,9.0,89.7,舒适,0
广州公路工程有限公司市政,广州公路工程有限公司市政,其他,1,1,1,广州,,,,,数据不足,1
广州未来一手网络,广州未来一手网络,互联网,1,1,1,广州,09:00,22:00,13.0,33.2,很卷,1
广州深海,广州深海,互联网,1,1,1,广州,09:00,18:30,9.5,87.0,舒适,0
广州渠道拓展信息科技有点公司,广州渠道拓展信息科技有点公司,其他,1,1,1,广州,09:00,18:00,9.0,87.9,舒适,1
广州盛成妈妈网,广州盛成妈妈网,互联网,1,1,1,广州,09:30,18:30,9.0,85.4,舒适,0
广州盛赫科技,广州盛赫科技,互联网,1,1,1,广州,09:18,21:00,11.7,52.7,偏卷,1
广州研游网络,广州研游网络,互联网,1,1,1,广州,10:00,21:00,11.0,51.6,偏卷,1
广州致景信息科技,广州致景信息科技,互联网,1,1,1,广州,09:00,18:30,9.5,87.0,舒适,1
乐元素,乐元素,互联网,1,1,1,北京,,18:00,,,数据不足,1
乐建,乐建,互联网,1,1,1,苏州,08:30,17:30,9.0,91.0,舒适,1
乐智互娱,乐智互娱,其他,1,1,1,北京,10:00,22:00,12.0,46.8,偏卷,1
乐游互娱,乐游互娱,互联网,1,1,1,成都,09:00,18:00,9.0,87.9,舒适,0
中铁二局,中铁二局,其他,1,1,1,成都,07:25,22:00,14.6,14.4,很卷,0
中铁五局,中铁五局,其他,1,1,1,广州,07:00,23:00,16.0,6.5,很卷,1
中铁六局集团广州工程,中铁六局集团广州工程,其他,1,1,1,广州,08:00,18:00,10.0,71.4,良好,0
中铁十九局,中铁十九局,其他,1,1,1,济南,07:25,18:00,10.6,57.6,一般,1
中铁四局,中铁四局,其他,1,1,1,全国,07:00,23:00,16.0,6.5,很卷,1
中铁一院,中铁一院,其他,1,1,1,西安,08:00,,,,数据不足,0
中铁三局集团华东建设,中铁三局集团华东建设,其他,1,1,1,南京,06:30,21:00,14.5,19.6,很卷,0
建信信托,建信信托,金融,1,1,1,广州,09:00,18:00,9.0,92.4,舒适,1
建信金科（建行）,建信金科（建行）,互联网,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,1
建筑民企,建筑民企,其他,1,1,1,上海,08:30,17:00,8.5,88.2,舒适,1
建筑设计咨询公司,建筑设计咨询公司,其他,1,1,1,杭州,09:00,17:00,8.0,98.7,舒适,0
广州速游,广州速游,互联网,1,1,1,广州,09:00,20:30,11.5,55.4,一般,1
广州饿狼网络,广州饿狼网络,互联网,1,1,1,广州,09:30,20:00,10.5,65.2,一般,1
广州黑胡子游戏开发,广州黑胡子游戏开发,互联网,1,1,1,广州,09:30,21:00,11.5,50.0,偏卷,1
广汽研究院,广汽研究院,其他,1,1,1,广州,08:30,17:30,9.0,91.0,舒适,1
广电,广电,其他,1,1,1,成都,,,,,数据不足,0
广船国际,广船国际,其他,1,1,1,南沙龙穴岛,08:15,19:00,10.8,61.5,一般,1
广西华原过滤系统,广西华原过滤系统,其他,1,1,1,玉林,08:00,17:30,9.5,86.6,舒适,0
广西新厦工程咨询,广西新厦工程咨询,其他,1,1,1,南宁,08:30,18:00,9.5,87.9,舒适,1
广西梯度科技,广西梯度科技,其他,1,1,1,南宁,09:00,18:00,9.0,87.9,舒适,1
广西辰景文化传播公司,广西辰景文化传播公司,其他,1,1,1,南宁,09:00,18:00,9.0,87.9,舒适,0
得到app,得到app,其他,1,1,1,北京,10:00,,,,数据不足,1
广达,广达,外企,1,1,1,重庆,08:00,20:00,12.0,45.8,偏卷,1
庆图光电,庆图光电,互联网,1,1,1,重庆,09:00,18:00,9.0,92.4,舒适,0
序言泽,序言泽,其他,1,1,1,上海,09:30,20:00,10.5,65.2,一般,1
序言泽网络,序言泽网络,互联网,1,1,1,上海,09:00,18:00,9.0,92.4,舒适,1
库洛游戏,库洛游戏,互联网,1,1,1,广州,09:30,18:30,9.0,91.4,舒适,1
店匠科技,店匠科技,互联网,1,1,1,深圳,08:30,20:00,11.5,56.3,一般,0
度小满金融,度小满金融,互联网,1,1,1,北京,10:00,21:00,11.0,57.6,一般,0
康龙化成新药技术,康龙化成新药技术,外企,1,1,1,北京,08:30,18:30,10.0,82.5,良好,0
中集运载科技,中集运载科技,其他,1,1,1,深圳,08:30,22:00,13.5,28.7,很卷,1
中青宝,中青宝,互联网,1,1,1,深圳,09:00,18:18,9.3,89.1,舒适,0
中软国际科技服务,中软国际科技服务,互联网,1,1,1,长沙,08:00,18:00,10.0,83.4,良好,1
中通服创发科技,中通服创发科技,互联网,1,1,1,长沙,08:30,17:30,9.0,91.0,舒适,1
中通服咨询设计研究院,中通服咨询设计研究院,互联网,1,1,1,南京,08:00,17:00,9.0,89.7,舒适,0
中邮信息科技(北京),中邮信息科技(北京),其他,1,1,1,北京,08:30,17:30,9.0,91.0,舒适,0
中铁一局,中铁一局,其他,1,1,1,广西梧州,07:30,23:00,15.5,6.5,很卷,1
中移（苏州）软件技术,中移（苏州）软件技术,互联网,1,1,1,苏州,,,,,数据不足,0
中能建湖南院,中能建湖南院,其他,1,1,1,长沙,08:30,21:00,12.5,39.5,很卷,0
中航信,中航信,互联网,1,1,1,北京,09:30,17:30,8.0,100.0,舒适,1
中航光电,中航光电,其他,1,1,1,洛阳,08:27,09:18,0.8,100.0,舒适,1
中芯国际,中芯国际,其他,1,1,1,上海,08:30,17:30,9.0,91.0,舒适,1
微播易,微播易,互联网,1,1,1,上海,09:00,23:00,14.0,28.4,很卷,0
微梦传媒,微梦传媒,互联网,1,1,1,北京,10:00,10:00,,,数据不足,1
微脉,微脉,互联网,1,1,1,杭州,09:00,09:00,,,数据不足,0
建筑设计院,建筑设计院,其他,1,1,1,,10:00,12:00,2.0,100.0,舒适,0
建设银行,建设银行,金融,1,1,1,包邮区,08:30,20:00,11.5,56.3,一般,1
开心鼠,开心鼠,互联网,1,1,1,北京,11:00,13:00,2.0,100.0,舒适,0
引导美梦圆皇宫,引导美梦圆皇宫,互联网,1,1,1,深圳,09:15,18:15,9.0,91.9,舒适,1
张家口中交建设,张家口中交建设,其他,1,1,1,,08:00,18:00,10.0,83.4,良好,0
当当,当当,互联网,1,1,1,北京,10:00,10:00,,,数据不足,0
彦祖文化,彦祖文化,互联网,1,1,1,铜陵,09:00,18:00,9.0,86.4,舒适,1
彬彬教育,彬彬教育,其他,1,1,1,北京,09:30,18:30,9.0,85.4,舒适,1
微众,微众,互联网,1,1,1,深圳,,,,,数据不足,1
微客巴巴,微客巴巴,互联网,1,1,1,重庆,09:00,18:00,9.0,89.4,舒适,0
微容,微容,其他,1,1,1,深圳,09:00,17:00,8.0,98.7,舒适,0
微店,微店,互联网,1,1,1,杭州,10:00,18:30,8.5,94.6,舒适,0
中软国际,中软国际,互联网,1,1,1,杭州,09:00,18:00,9.0,92.4,舒适,1
中软国际信息服务,中软国际信息服务,互联网,1,1,1,深圳,,,,,数据不足,1
中科金审,中科金审,互联网,1,1,1,深圳,09:00,18:00,9.0,92.4,舒适,1
中科院数学院,中科院数学院,其他,1,1,1,北京,08:00,17:00,9.0,89.7,舒适,1
中科院空天所,中科院空天所,其他,1,1,1,苏州,08:18,17:18,9.0,90.5,舒适,1
中科院空天院,中科院空天院,其他,1,1,1,苏州,08:30,17:30,9.0,91.0,舒适,1
中铁三局集团第四工程,中铁三局集团第四工程,其他,1,1,1,北京,07:30,18:00,10.5,58.2,一般,1
中铁上海工程局城轨,中铁上海工程局城轨,其他,1,1,1,长春,07:30,17:30,10.0,71.4,良好,1
中铁上海设计院,中铁上海设计院,其他,1,1,1,上海,08:30,22:30,14.0,29.3,很卷,0
中铁上海设计院南京院,中铁上海设计院南京院,其他,1,1,1,南京,08:18,21:00,12.7,40.7,偏卷,0
中铁二十三局集团轨道交通工程,中铁二十三局集团轨道交通工程,其他,1,1,1,全国,07:30,22:30,15.0,9.6,很卷,1
中移在线客服,中移在线客服,互联网,1,1,1,郑州,09:00,21:00,12.0,44.0,偏卷,1
中电四,中电四,其他,1,1,1,合肥,07:00,17:30,10.5,64.2,一般,0
中电文思海辉,中电文思海辉,互联网,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,1
中电莱斯信息,中电莱斯信息,互联网,1,1,1,南京,08:30,17:30,9.0,88.0,舒适,1
中电金信,中电金信,互联网,1,1,1,武汉,09:00,20:00,11.0,54.8,偏卷,0
恒大园林,恒大园林,其他,1,1,1,汕头,08:18,17:18,9.0,90.5,舒适,0
恒大高科技,恒大高科技,其他,1,1,1,深圳,08:30,20:30,12.0,50.9,偏卷,1
恒瑞医药,恒瑞医药,其他,1,1,1,连云港,09:00,17:00,8.0,98.7,舒适,1
微脉技术,微脉技术,互联网,1,1,1,杭州,09:00,17:00,8.0,100.0,舒适,1
微芯研究院,微芯研究院,互联网,1,1,1,北京,,21:00,,,数据不足,1
德勤GDC,德勤GDC,外企,1,1,1,重庆,09:00,17:30,8.5,98.5,舒适,0
德勤管理咨询,德勤管理咨询,外企,1,1,1,上海,09:00,21:00,12.0,50.0,偏卷,1
德尔,德尔,其他,1,1,1,苏州,08:45,17:45,9.0,91.7,舒适,1
德尔康尼骨科医院,德尔康尼骨科医院,其他,1,1,1,北京,08:00,17:00,9.0,89.7,舒适,0
德赛西威,德赛西威,其他,1,1,1,,07:00,09:00,2.0,100.0,舒适,0
心动,心动,互联网,1,1,1,上海,10:00,18:00,8.0,100.0,舒适,1
心源,心源,互联网,1,1,1,广州,09:00,,,,数据不足,1
惠州亿纬锂能,惠州亿纬锂能,其他,1,1,1,惠州,08:30,,,,数据不足,1
惠州科达利精密工业,惠州科达利精密工业,其他,1,1,1,深圳,08:00,20:00,12.0,45.8,偏卷,1
慈铭体检奥亚医院,慈铭体检奥亚医院,其他,1,1,1,北京,08:00,17:00,9.0,89.7,舒适,1
思必驰,思必驰,互联网,1,1,1,上海,09:30,18:30,9.0,91.4,舒适,0
思特沃克软件技术,思特沃克软件技术,互联网,1,1,1,北京,,,,,数据不足,0
思特沃克（Thoughtworks）,思特沃克（Thoughtworks）,外企,1,1,1,武汉,09:18,18:00,8.7,95.1,舒适,0
思谋科技,思谋科技,其他,1,1,1,北京,09:00,,,,数据不足,0
怪兽充电,怪兽充电,互联网,1,1,1,上海,10:00,20:00,10.0,78.4,良好,1
恒大,恒大,其他,1,1,1,广州,08:30,17:30,9.0,91.0,舒适,0
中科院苏州医工所,中科院苏州医工所,其他,1,1,1,苏州,09:00,17:00,8.0,98.7,舒适,1
中科院遥感所,中科院遥感所,互联网,1,1,1,北京,11:00,15:00,4.0,100.0,舒适,1
中泰证券,中泰证券,金融,1,1,1,上海,08:30,17:00,8.5,94.2,舒适,1
中海地产,中海地产,其他,1,1,1,株洲,09:00,22:00,13.0,33.2,很卷,0
中涛科技网络,中涛科技网络,其他,1,1,1,泉州,09:00,21:00,12.0,41.0,偏卷,1
中煤西安设计工程,中煤西安设计工程,其他,1,1,1,西安,08:30,22:00,13.5,34.7,很卷,1
中电二十八所（中电莱斯）,中电二十八所（中电莱斯）,其他,1,1,1,南京,08:30,20:30,12.0,44.9,偏卷,0
成都中医药大学附属医院,成都中医药大学附属医院,其他,1,1,1,成都,08:00,17:30,9.5,80.6,良好,1
成都乐曼多/先知者,成都乐曼多/先知者,互联网,1,1,1,成都,09:00,19:00,10.0,81.6,良好,0
成都佳发安泰教育科技,成都佳发安泰教育科技,其他,1,1,1,成都,09:00,17:30,8.5,95.5,舒适,1
成都创新风险投资,成都创新风险投资,金融,1,1,1,成都,09:00,17:00,8.0,98.7,舒适,1
成都华律网络服务,成都华律网络服务,互联网,1,1,1,成都,09:00,18:00,9.0,87.9,舒适,1
成都华西公用医疗信息服务,成都华西公用医疗信息服务,互联网,1,1,1,成都,08:30,18:00,9.5,87.9,舒适,0
成都品果科技,成都品果科技,互联网,1,1,1,成都,09:20,18:00,8.7,95.1,舒适,0
恒达文博,恒达文博,互联网,1,1,1,天津,08:30,17:30,9.0,91.0,舒适,0
恒银金融科技,恒银金融科技,金融,1,1,1,天津,08:30,17:30,9.0,85.0,舒适,1
恒隆通信,恒隆通信,其他,1,1,1,苏州,08:30,17:30,9.0,91.0,舒适,1
恩士迅,恩士迅,其他,1,1,1,杭州,09:00,18:00,9.0,92.4,舒适,0
悉之智能,悉之智能,互联网,1,1,1,北京,10:00,21:00,11.0,53.1,偏卷,1
悠星网络,悠星网络,互联网,1,1,1,上海,10:00,18:30,8.5,97.6,舒适,0
悦商,悦商,互联网,1,1,1,北京,09:00,18:30,9.5,82.5,良好,1
悦淘网络科技(北京),悦淘网络科技(北京),互联网,1,1,1,北京,09:00,18:30,9.5,81.0,良好,0
惟客数据,惟客数据,其他,1,1,1,广州,09:30,21:30,12.0,49.0,偏卷,0
中数通,中数通,其他,1,1,1,广州,09:15,18:15,9.0,91.9,舒适,0
中数通信息,中数通信息,互联网,1,1,1,广州,09:00,18:00,9.0,92.4,舒适,0
中文在线,中文在线,互联网,1,1,1,杭州,09:00,18:30,9.5,87.0,舒适,0
中新赛克（重庆研发中心）,中新赛克（重庆研发中心）,互联网,1,1,1,重庆,09:10,20:20,11.2,52.5,偏卷,0
成都欧软科技,成都欧软科技,互联网,1,1,1,成都,09:00,18:00,9.0,92.4,舒适,0
成都环宇知了科技,成都环宇知了科技,互联网,1,1,1,成都,09:00,20:30,11.5,50.9,偏卷,1
成都知藏云柚供应链管理,成都知藏云柚供应链管理,互联网,1,1,1,北京,09:30,20:00,10.5,60.8,一般,0
成都知识视觉科技,成都知识视觉科技,互联网,1,1,1,成都,09:00,18:18,9.3,89.1,舒适,0
成都筑川科技,成都筑川科技,互联网,1,1,1,成都,09:00,18:00,9.0,92.4,舒适,1
慕思,慕思,其他,1,1,1,东莞,08:00,18:00,10.0,80.4,良好,0
慕维影视,慕维影视,其他,1,1,1,芜湖,08:30,18:00,9.5,81.9,良好,1
慕课网,慕课网,其他,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,0
慧咨,慧咨,外企,1,1,1,南京,08:30,17:30,9.0,100.0,舒适,1
慧算账北京科技,慧算账北京科技,其他,1,1,1,北京,09:30,18:30,9.0,91.4,舒适,1
成蹊科技,成蹊科技,互联网,1,1,1,上海,09:00,20:00,11.0,60.8,一般,0
成都万达国际电影城,成都万达国际电影城,其他,1,1,1,成都,09:00,17:30,8.5,91.0,舒适,1
技嘉,技嘉,其他,1,1,1,深圳,09:00,18:00,9.0,92.4,舒适,0
成都国卫信安,成都国卫信安,其他,1,1,1,成都,09:00,17:30,8.5,95.5,舒适,0
成都市勘察测绘研究院,成都市勘察测绘研究院,其他,1,1,1,成都,09:00,17:00,8.0,98.7,舒适,1
成都市维思凡科技,成都市维思凡科技,其他,1,1,1,成都,09:00,18:00,9.0,92.4,舒适,0
成都心田花开科技有点公司,成都心田花开科技有点公司,互联网,1,1,1,成都,10:00,20:30,10.5,63.0,一般,1
成都旺小宝科技,成都旺小宝科技,互联网,1,1,1,成都,08:00,18:00,10.0,83.4,良好,0
中磊电子,中磊电子,其他,1,1,1,苏州,09:30,20:00,10.5,65.2,一般,1
中禄财务,中禄财务,互联网,1,1,1,杭州,09:00,18:00,9.0,92.4,舒适,0
中科创达,中科创达,互联网,1,1,1,大连,09:30,22:00,12.5,37.7,很卷,0
中科星图,中科星图,互联网,1,1,1,西安,08:30,17:30,9.0,91.0,舒适,1
中建电子商务,中建电子商务,互联网,1,1,1,成都,09:30,19:00,9.5,100.0,舒适,1
中建科技集团华东,中建科技集团华东,其他,1,1,1,上海,,,,,数据不足,1
中建装饰,中建装饰,其他,1,1,1,天津,08:30,18:00,9.5,87.9,舒适,1
中建装饰子公司项目部,中建装饰子公司项目部,其他,1,1,1,无固定,08:30,,,,数据不足,1
中建西部建设,中建西部建设,其他,1,1,1,成都,08:30,17:30,9.0,86.5,舒适,1
中惠旅,中惠旅,其他,1,1,1,长沙,08:00,18:30,10.5,62.0,一般,0
中建三局北京公司,中建三局北京公司,其他,1,1,1,随项目变动,08:00,18:00,10.0,77.4,良好,1
中建三局华东公司,中建三局华东公司,其他,1,1,1,上海,06:00,06:00,,,数据不足,1
中建八局一公司,中建八局一公司,其他,1,1,1,广州,08:00,22:00,14.0,24.2,很卷,1
中建八局第一建设,中建八局第一建设,其他,1,1,1,深圳,08:00,18:00,10.0,77.4,良好,1
中建八局第二建设,中建八局第二建设,其他,1,1,1,北京,07:30,22:30,15.0,17.2,很卷,1
招行,招行,互联网,1,1,1,深圳,08:30,17:30,9.0,91.0,舒适,0
招银,招银,金融,1,1,1,深圳,08:30,20:30,12.0,50.9,偏卷,1
招银网络,招银网络,金融,1,1,1,杭州,08:30,17:30,9.0,94.0,舒适,1
成都薯片科技有限公司（原顶呱呱）,成都薯片科技有限公司（原顶呱呱）,互联网,1,1,1,成都,08:30,18:30,10.0,82.5,良好,1
成都谭鸭血分司,成都谭鸭血分司,其他,1,1,1,成都,09:30,18:30,9.0,91.4,舒适,0
成都长益西联软件,成都长益西联软件,互联网,1,1,1,成都,08:45,17:30,8.8,93.0,舒适,1
我行我数,我行我数,互联网,1,1,1,成都,09:00,,,,数据不足,1
戴姆勒,戴姆勒,外企,1,1,1,北京,09:30,18:00,8.5,96.8,舒适,0
戴尔,戴尔,互联网,1,1,1,上海,09:20,18:00,8.7,95.1,舒适,1
房地产咨询,房地产咨询,其他,1,1,1,,09:00,18:00,9.0,92.4,舒适,1
托普郎宁信息技术,托普郎宁信息技术,其他,1,1,1,北京,09:00,21:00,12.0,48.2,偏卷,1
中央组织部,中央组织部,其他,1,1,1,北京,08:00,18:00,10.0,83.4,良好,0
中字头央企,中字头央企,其他,1,1,1,深圳,08:30,09:30,1.0,100.0,舒适,1
中山格兰仕,中山格兰仕,其他,1,1,1,中山,09:00,19:00,10.0,75.6,良好,1
摩多,摩多,互联网,1,1,1,厦门,09:00,18:00,9.0,89.4,舒适,1
摩尔元素,摩尔元素,其他,1,1,1,福州,08:45,20:00,11.2,58.8,一般,0
摹客科技,摹客科技,互联网,1,1,1,成都,09:00,18:00,9.0,92.4,舒适,1
投光,投光,互联网,1,1,1,杭州,10:30,18:00,7.5,100.0,舒适,1
投光全书（杭州）科技,投光全书（杭州）科技,其他,1,1,1,杭州,10:30,18:15,7.8,100.0,舒适,1
拍拍贷,拍拍贷,金融,1,1,1,上海,10:00,19:00,9.0,89.2,舒适,1
招商局资本,招商局资本,金融,1,1,1,北京,09:00,18:00,9.0,87.9,舒适,0
中核,中核,其他,1,1,1,全国,08:00,18:00,10.0,71.4,良好,1
中核集团下属研究院,中核集团下属研究院,其他,1,1,1,北京,08:00,17:00,9.0,89.7,舒适,0
中水三局,中水三局,其他,1,1,1,,07:30,18:00,10.5,58.2,一般,1
中汇会计师事务所（特殊普通合伙）,中汇会计师事务所（特殊普通合伙）,其他,1,1,1,南京,,11:00,,,数据不足,0
中汽创智,中汽创智,其他,1,1,1,南京,08:30,18:00,9.5,87.9,舒适,1
中建七局,中建七局,其他,1,1,1,全国各地,07:30,21:00,13.5,25.8,很卷,1
指掌易,指掌易,互联网,1,1,1,北京,09:00,20:00,11.0,60.8,一般,0
振鑫电脑锣,振鑫电脑锣,其他,1,1,1,中山,08:00,08:00,,,数据不足,1
掌中云,掌中云,互联网,1,1,1,杭州,,,,,数据不足,0
掌门,掌门,其他,1,1,1,上海,09:30,18:30,9.0,87.0,舒适,1
探探,探探,其他,1,1,1,北京,10:10,20:00,9.8,79.7,良好,1
提莫,提莫,互联网,1,1,1,广州,09:30,10:30,1.0,100.0,舒适,0
中建八局西北公司,中建八局西北公司,其他,1,1,1,郊外,08:00,23:00,15.0,10.4,很卷,0
中建城市建设发展,中建城市建设发展,其他,1,1,1,天津,08:00,18:00,10.0,71.4,良好,1
中建安装南京公司,中建安装南京公司,其他,1,1,1,合肥,07:30,19:00,11.5,47.4,偏卷,1
中国银行广东省分行,中国银行广东省分行,金融,1,1,1,广州,08:18,17:18,9.0,90.5,舒适,0
中国银行软件中心 深圳,中国银行软件中心 深圳,互联网,1,1,1,深圳,08:18,17:00,8.7,95.4,舒适,1
中国银行（海外),中国银行（海外),金融,1,1,1,海外,08:45,19:10,10.4,67.6,一般,0
中型设计院,中型设计院,其他,1,1,1,,08:30,17:00,8.5,94.2,舒适,1
中垦供应链（农投旗下的3级公司）,中垦供应链（农投旗下的3级公司）,其他,1,1,1,重庆,09:00,17:30,8.5,95.5,舒适,1
中基建工防水装饰,中基建工防水装饰,其他,1,1,1,郑州,08:30,18:00,9.5,81.9,良好,1
中天西北建设集团投资,中天西北建设集团投资,其他,1,1,1,西安,07:30,19:00,11.5,47.4,偏卷,1
新代科技,新代科技,其他,1,1,1,苏州,09:00,18:00,9.0,92.4,舒适,1
新华医疗制药科技,新华医疗制药科技,其他,1,1,1,淄博,08:00,17:30,9.5,86.6,舒适,1
新华智云,新华智云,互联网,1,1,1,杭州,10:00,18:00,8.0,100.0,舒适,0
新华网,新华网,互联网,1,1,1,北京,08:30,18:00,9.5,87.9,舒适,1
擎朗智能,擎朗智能,其他,1,1,1,上海,,21:00,,,数据不足,0
政府机关,政府机关,其他,1,1,1,,,17:00,,,数据不足,0
政采云,政采云,互联网,1,1,1,杭州,09:30,20:30,11.0,59.8,一般,0
敏实,敏实,其他,1,1,1,嘉兴,07:20,17:00,9.7,85.3,舒适,0
教育,教育,其他,1,1,1,郑州,08:00,18:00,10.0,78.9,良好,0
散爆,散爆,其他,1,1,1,上海,10:00,19:00,9.0,89.2,舒适,1
数字XX,数字XX,互联网,1,1,1,南昌,09:00,15:18,6.3,100.0,舒适,0
数字政通,数字政通,互联网,1,1,1,武汉,08:00,17:00,9.0,89.7,舒适,0
数字浣熊,数字浣熊,互联网,1,1,1,北京,09:30,20:00,10.5,65.2,一般,1
数字货币,数字货币,互联网,1,1,1,成都,09:00,19:00,10.0,81.6,良好,0
数浙,数浙,互联网,1,1,1,杭州,09:30,18:00,8.5,96.8,舒适,1
拼读多,拼读多,其他,1,1,1,杭州,09:30,20:30,11.0,53.8,偏卷,0
中国航发商用发动机,中国航发商用发动机,其他,1,1,1,上海,08:30,17:30,9.0,91.0,舒适,0
中国节能,中国节能,其他,1,1,1,成都,09:00,17:00,8.0,98.7,舒适,0
中国融信地产公司河南区域,中国融信地产公司河南区域,其他,1,1,1,郑州,09:00,18:00,9.0,92.4,舒适,1
中国邮储银行,中国邮储银行,互联网,1,1,1,北京,09:00,20:30,11.5,49.4,偏卷,0
中国铁工投资建设集团城市建设,中国铁工投资建设集团城市建设,其他,1,1,1,北京,07:30,22:30,15.0,9.6,很卷,1
新星宇,新星宇,其他,1,1,1,长春,07:00,18:00,11.0,55.1,一般,0
新星宇工程建设,新星宇工程建设,其他,1,1,1,长春,,17:18,,,数据不足,1
新氧,新氧,互联网,1,1,1,北京,09:30,19:00,9.5,86.1,舒适,1
文思海辉,文思海辉,互联网,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,1
文思海辉(大连),文思海辉(大连),其他,1,1,1,大连,09:00,18:00,9.0,92.4,舒适,0
文远知行,文远知行,互联网,1,1,1,广州,09:00,19:30,10.5,66.2,一般,1
文都教育,文都教育,其他,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,0
斗半匠文化产业发展,斗半匠文化产业发展,其他,1,1,1,南昌,09:00,18:00,9.0,92.4,舒适,0
斯比泰,斯比泰,外企,1,1,1,深圳,08:00,17:00,9.0,92.7,舒适,1
新世界中国,新世界中国,其他,1,1,1,广州,09:00,18:30,9.5,87.0,舒适,1
新东方教育科技成都,新东方教育科技成都,其他,1,1,1,成都,09:00,18:00,9.0,86.4,舒适,0
施工央企（化建）,施工央企（化建）,其他,1,1,1,全国,07:00,17:30,10.5,58.2,一般,1
施强教育科技,施强教育科技,其他,1,1,1,杭州,09:00,21:00,12.0,50.0,偏卷,1
新合作商业管理有限公司,新合作商业管理有限公司,其他,1,1,1,重庆,08:18,17:18,9.0,78.5,良好,1
新城,新城,其他,1,1,1,上海,09:00,18:00,9.0,92.4,舒适,0
新城控股总部,新城控股总部,其他,1,1,1,上海,08:30,,,,数据不足,0
新奥阳光易采,新奥阳光易采,互联网,1,1,1,北京,09:00,18:00,9.0,92.4,舒适,1
新宙邦,新宙邦,其他,1,1,1,深圳,08:00,17:30,9.5,86.6,舒适,1
新希望乳业,新希望乳业,其他,1,1,1,成都,08:30,17:30,9.0,91.0,舒适,0
新希望动物营养科技,新希望动物营养科技,互联网,1,1,1,成都,09:00,20:00,11.0,60.8,一般,1
新日,新日,其他,1,1,1,天津,08:00,17:00,9.0,83.7,良好,1
中山证券,中山证券,金融,1,1,1,深圳,08:30,17:00,8.5,94.2,舒适,0
中广核,中广核,其他,1,1,1,东部省份,08:30,17:00,8.5,94.2,舒适,0
中建,中建,其他,1,1,1,拉萨,07:18,22:00,14.7,13.8,很卷,1
中建x局一公司,中建x局一公司,其他,1,1,1,杭州,07:30,22:00,14.5,15.0,很卷,1
中建一局,中建一局,其他,1,1,1,深圳,08:00,12:00,4.0,100.0,舒适,1
中国航发商发,中国航发商发,其他,1,1,1,上海,08:30,18:00,9.5,87.9,舒适,1
新疆胡杨线缆,新疆胡杨线缆,其他,1,1,1,,10:00,19:30,9.5,77.8,良好,1
新赛斯电子,新赛斯电子,其他,1,1,1,深圳,08:00,19:30,11.5,51.2,偏卷,0
新铝时代,新铝时代,其他,1,1,1,重庆,08:00,17:30,9.5,80.6,良好,1
新飞商贸,新飞商贸,其他,1,1,1,郑州,08:00,18:30,10.5,63.5,一般,0
方圆地产,方圆地产,其他,1,1,1,广州,08:30,17:30,9.0,91.0,舒适,1
方正投行,方正投行,互联网,1,1,1,长沙,08:00,,,,数据不足,0
方纬,方纬,其他,1,1,1,广州,09:00,18:30,9.5,87.0,舒适,0
中国铁建，中国铁工，中交，中建等央企建筑业,中国铁建，中国铁工，中交，中建等央企建筑业,其他,1,1,1,,08:00,17:00,9.0,92.7,舒适,1
中国铁设,中国铁设,其他,1,1,1,天津,08:30,23:30,15.0,14.0,很卷,1
中国电子系统,中国电子系统,互联网,1,1,1,南京,09:00,20:00,11.0,60.8,一般,0
中国电建中南院,中国电建中南院,其他,1,1,1,长沙,08:30,22:00,13.5,28.7,很卷,1
中国电建物业,中国电建物业,其他,1,1,1,总部,08:30,,,,数据不足,1
