公司_规范,集团,分类,记录数,原始名称数,城市数,城市,平均上班,平均下班,平均工时,评分,等级,备注数
中金公司,中金公司,金融,9,3,3,北京、上海、深圳,09:00,18:40,9.7,77.2,良好,4
亚马逊,亚马逊,互联网,9,1,4,北京、上海、深圳、海外,10:00,16:55,9.6,90.7,舒适,6
格力,格力,其他,9,3,3,深圳、珠海、北京,08:32,17:56,9.4,86.5,舒适,4
SAP,SAP,互联网,9,1,3,成都、上海、南京,09:10,18:00,8.8,100.0,舒适,5
大疆,大疆,其他,9,2,1,深圳,10:17,21:13,10.9,57.0,一般,2
匿名国企,匿名国企,其他,9,6,6,深圳、南宁、北京、西安、杭州、苏州,08:47,17:22,8.6,97.4,舒适,4
新浪,新浪,互联网,9,1,1,北京,09:43,18:50,9.1,86.6,舒适,5
中公教育,中公教育,其他,8,1,3,石家庄、北京、哈尔滨,08:41,17:15,8.6,86.0,舒适,6
BIGO,BIGO,互联网,8,1,2,北京、广州,09:52,20:52,11.0,60.4,一般,3
埃森哲,埃森哲,互联网,8,1,3,大连、北京、上海,09:03,19:26,10.4,73.7,良好,5
爱奇艺,爱奇艺,互联网,8,1,2,北京、成都,09:49,18:37,8.8,92.1,舒适,3
爱立信,爱立信,互联网,8,3,4,北京、上海、南京、广州,09:15,17:48,8.6,98.8,舒适,3
东方财富,东方财富,互联网,8,2,1,上海,08:13,17:26,9.2,86.7,舒适,4
米哈游,米哈游,互联网,8,1,1,上海,10:00,19:30,9.5,80.8,良好,5
明略科技,明略科技,互联网,8,1,3,上海、北京、广州,09:45,19:00,9.2,87.6,舒适,6
美的,美的,其他,8,2,4,佛山、出差不定、武汉、无锡,08:13,19:03,10.8,69.5,一般,5
映客,映客,互联网,8,1,2,广州、北京,09:48,20:15,10.4,68.5,一般,5
小红书,小红书,互联网,8,1,2,上海、北京,10:00,20:30,10.5,65.9,一般,5
陌陌,陌陌,互联网,8,1,1,北京,10:00,19:00,9.0,87.7,舒适,2
